Date,Price,Open,High,Low,Vol.,Change %,Symbol
30-06-2023,739.25,752.8,759.9,738,6.63M,-2.28%,APSE
28-06-2023,756.5,722.95,759,721.8,17.91M,5.03%,APSE
27-06-2023,720.25,724.35,730.45,716,6.94M,-0.57%,APSE
26-06-2023,724.4,710,726.3,705.1,5.70M,1.41%,APSE
23-06-2023,714.3,741,741,703,15.40M,-4.20%,APSE
22-06-2023,745.6,755,758,741,10.06M,-0.51%,APSE
21-06-2023,749.45,739.9,753.25,733.3,9.31M,1.58%,APSE
20-06-2023,737.8,738,742,730.2,6.75M,0.29%,APSE
19-06-2023,735.65,749.9,749.9,731,5.26M,-1.57%,APSE
16-06-2023,747.4,741,749.7,740.8,6.80M,1.07%,APSE
15-06-2023,739.5,737.3,748.7,737,6.45M,0.02%,APSE
14-06-2023,739.35,736.35,742.75,735.8,3.90M,0.20%,APSE
13-06-2023,737.85,741,742.4,735.05,3.64M,-0.57%,APSE
12-06-2023,742.1,735.2,746.55,733.55,4.57M,0.97%,APSE
09-06-2023,734.95,738,742,733,1.34M,-0.20%,APSE
08-06-2023,736.4,744.95,749,733,2.14M,-0.99%,APSE
07-06-2023,743.75,750,751,741.95,2.13M,-0.22%,APSE
06-06-2023,745.4,742.9,747,740,5.49M,0.89%,APSE
05-06-2023,738.8,738,744,735,5.17M,0.30%,APSE
02-06-2023,736.6,738,744,734,5.55M,0.62%,APSE
01-06-2023,732.05,730.5,744.95,729,3.77M,-0.92%,APSE
31-05-2023,738.85,736,749,721.3,13.65M,0.65%,APSE
30-05-2023,734.05,740,742.35,727.65,4.79M,-0.47%,APSE
29-05-2023,737.5,731,740,728.05,4.30M,1.47%,APSE
26-05-2023,726.85,729.1,730.35,720.6,4.51M,0.32%,APSE
25-05-2023,724.5,717,727,705.6,7.46M,0.87%,APSE
24-05-2023,718.25,739,739,708.75,12.81M,-2.15%,APSE
23-05-2023,734.05,744.3,785.65,730,39.50M,0.60%,APSE
22-05-2023,729.7,698.9,753.4,693.15,30.20M,6.05%,APSE
19-05-2023,688.1,664,694.15,659.5,6.34M,3.48%,APSE
18-05-2023,664.95,689.7,689.7,661.3,4.41M,-2.87%,APSE
17-05-2023,684.6,687.25,691.95,682.55,2.30M,-0.35%,APSE
16-05-2023,687,694.05,698.8,685.3,1.40M,-1.02%,APSE
15-05-2023,694.05,699.8,701.7,687.5,2.62M,-0.85%,APSE
12-05-2023,700,712,712,695.05,4.03M,-1.24%,APSE
11-05-2023,708.8,694,714,692.25,5.98M,2.58%,APSE
10-05-2023,691,692,692.4,685.55,1.79M,0.07%,APSE
09-05-2023,690.5,685.1,695.9,684.5,4.03M,0.79%,APSE
08-05-2023,685.1,684.7,690.65,678.6,3.67M,0.18%,APSE
05-05-2023,683.9,682.8,693.6,677.5,5.19M,0.61%,APSE
04-05-2023,679.75,670,682,667.7,5.12M,1.51%,APSE
03-05-2023,669.65,675,684.85,656.75,5.65M,-1.74%,APSE
02-05-2023,681.5,683.8,685.9,672.6,5.56M,0.03%,APSE
28-04-2023,681.3,666.2,683,662.15,6.16M,3.27%,APSE
27-04-2023,659.75,667.9,668.2,657.2,3.20M,-0.74%,APSE
26-04-2023,664.7,671,671.6,662.1,3.37M,-1.01%,APSE
25-04-2023,671.45,675,682.5,668.85,4.81M,0.02%,APSE
24-04-2023,671.3,665.1,672.75,656,3.36M,1.47%,APSE
21-04-2023,661.6,668,670.6,658.65,1.98M,-0.68%,APSE
20-04-2023,666.1,663,678.5,661.2,5.01M,1.17%,APSE
19-04-2023,658.4,659,665,654.9,2.68M,-0.02%,APSE
18-04-2023,658.55,668,671.4,651.05,2.96M,-0.93%,APSE
17-04-2023,664.7,663,666.7,658,2.73M,0.46%,APSE
13-04-2023,661.65,659.7,664.9,653.4,3.31M,0.59%,APSE
12-04-2023,657.75,656,662,650,4.27M,0.58%,APSE
11-04-2023,653.95,655,660.25,647.4,3.80M,0.30%,APSE
10-04-2023,652,646,657,643,4.25M,1.62%,APSE
06-04-2023,641.6,637,651.35,631.55,7.09M,0.76%,APSE
05-04-2023,636.75,626.9,639.8,625.05,6.62M,1.43%,APSE
03-04-2023,627.8,638.55,639,622.15,6.07M,-0.65%,APSE
31-03-2023,631.9,643.9,655.4,627.35,9.47M,-0.75%,APSE
29-03-2023,636.65,593.35,642.55,590.1,17.06M,7.29%,APSE
28-03-2023,593.4,622.6,627.8,571.55,19.86M,-5.67%,APSE
