Date,Price,Open,High,Low,Vol.,Change %,Symbol
27-06-2024,439.45,432.2,443,426.5,18.72M,1.68%,TTPW
26-06-2024,432.2,430.35,435.8,429.05,9.32M,0.34%,TTPW
25-06-2024,430.75,436,437.95,429.4,7.14M,-1.11%,TTPW
24-06-2024,435.6,436,439.5,432.05,7.88M,-0.71%,TTPW
21-06-2024,438.7,443.65,445.2,437.65,16.11M,-1.12%,TTPW
20-06-2024,443.65,443,446.5,436.55,8.06M,0.29%,TTPW
19-06-2024,442.35,452,452.65,441.65,8.98M,-2.07%,TTPW
18-06-2024,451.7,449.75,454.25,448.15,6.52M,0.68%,TTPW
14-06-2024,448.65,452.4,453.6,447.5,7.86M,-0.72%,TTPW
13-06-2024,451.9,457,458,449.65,12.21M,0.50%,TTPW
12-06-2024,449.65,451,453.85,448.55,7.07M,0.28%,TTPW
11-06-2024,448.4,448,453.75,446.75,9.80M,0.09%,TTPW
10-06-2024,448,446.6,458.75,445.15,20.55M,1.00%,TTPW
07-06-2024,443.55,430,445.7,427,15.04M,2.78%,TTPW
06-06-2024,431.55,430,438.4,425.75,13.64M,2.07%,TTPW
05-06-2024,422.8,417,424.45,390,25.59M,5.81%,TTPW
04-06-2024,399.6,458.9,458.9,371.65,58.99M,-12.47%,TTPW
03-06-2024,456.55,460,460,447.35,25.03M,4.53%,TTPW
31-05-2024,436.75,425.4,438.7,425.4,15.29M,2.68%,TTPW
30-05-2024,425.35,432.85,433.5,422.55,9.06M,-1.73%,TTPW
29-05-2024,432.85,435,439.45,432.1,7.24M,-0.93%,TTPW
28-05-2024,436.9,447,449.4,434.15,9.56M,-2.05%,TTPW
27-05-2024,446.05,448.9,452.55,445,10.07M,-0.26%,TTPW
24-05-2024,447.2,449.15,452.95,446.1,9.76M,-0.43%,TTPW
23-05-2024,449.15,450.4,452.1,445.5,8.87M,0.32%,TTPW
22-05-2024,447.7,442,450.05,436.5,16.09M,1.36%,TTPW
21-05-2024,441.7,443.4,446.35,440.05,11.54M,0.06%,TTPW
18-05-2024,441.45,437.8,443.75,436.5,2.62M,1.18%,TTPW
17-05-2024,436.3,433.95,438.3,432.35,7.39M,0.54%,TTPW
16-05-2024,433.95,435,435.35,426.85,8.32M,0.61%,TTPW
15-05-2024,431.3,433.8,439.95,430.35,13.80M,0.22%,TTPW
14-05-2024,430.35,413.1,432,412.65,18.40M,4.52%,TTPW
13-05-2024,411.75,414.85,415.35,396.55,25.15M,-0.75%,TTPW
10-05-2024,414.85,415,418.25,404.15,19.95M,0.33%,TTPW
09-05-2024,413.5,427.85,431.25,412.1,28.01M,-4.95%,TTPW
08-05-2024,435.05,434.75,441.2,430.1,13.91M,-0.31%,TTPW
07-05-2024,436.4,448.55,449.25,432.4,14.13M,-2.22%,TTPW
06-05-2024,446.3,458.6,458.6,442.35,16.74M,-1.86%,TTPW
03-05-2024,454.75,461.6,464.2,448.5,16.83M,-0.68%,TTPW
02-05-2024,457.85,450.05,459.95,449.25,15.88M,1.91%,TTPW
30-04-2024,449.25,451.65,455.3,448.05,22.52M,0.28%,TTPW
29-04-2024,448,439.85,451.35,437.25,23.57M,2.54%,TTPW
26-04-2024,436.9,432.55,440.5,432.5,14.34M,1.26%,TTPW
25-04-2024,431.45,428.3,433.1,427,7.79M,0.74%,TTPW
24-04-2024,428.3,430.05,432.45,427,6.46M,-0.31%,TTPW
23-04-2024,429.65,430.05,432.4,427.65,9.35M,0.40%,TTPW
22-04-2024,427.95,434,435,426.75,12.13M,-0.04%,TTPW
19-04-2024,428.1,426.25,431.7,419.3,17.99M,-0.38%,TTPW
18-04-2024,429.75,434.9,442.8,427.05,21.00M,-0.15%,TTPW
16-04-2024,430.4,431.4,435.7,426.55,14.66M,-0.28%,TTPW
15-04-2024,431.6,424,441.45,417.2,32.55M,-1.22%,TTPW
12-04-2024,436.95,431.5,444.2,429.1,25.43M,1.16%,TTPW
10-04-2024,431.95,432,439.4,431,18.39M,0.48%,TTPW
09-04-2024,429.9,417,436.15,416.35,37.38M,3.25%,TTPW
