Date,Price,Open,High,Low,Vol.,Change %,Symbol
20-06-2024,"1,194.16","1,185.00","1,199.20","1,177.60",2.49M,0.25%,REDY
19-06-2024,"1,191.24","1,198.39","1,199.93","1,184.00",3.06M,-0.59%,REDY
18-06-2024,"1,198.25","1,209.60","1,212.40","1,196.00",3.08M,-1.54%,REDY
14-06-2024,"1,217.05","1,219.20","1,223.70","1,207.02",1.99M,-0.17%,REDY
13-06-2024,"1,219.17","1,223.98","1,223.98","1,206.30",2.19M,0.59%,REDY
12-06-2024,"1,212.01","1,212.00","1,217.00","1,198.20",1.93M,0.34%,REDY
11-06-2024,"1,207.85","1,217.00","1,220.05","1,205.60",2.58M,-1.10%,REDY
10-06-2024,"1,221.23","1,212.26","1,231.53","1,200.81",3.15M,0.74%,REDY
07-06-2024,"1,212.26","1,178.19","1,216.82","1,175.25",3.75M,2.89%,REDY
06-06-2024,"1,178.19","1,167.00","1,185.20","1,156.32",3.60M,1.15%,REDY
05-06-2024,"1,164.83","1,147.58","1,176.34","1,145.16",2.54M,1.63%,REDY
04-06-2024,"1,146.16","1,161.40","1,165.47","1,120.00",3.29M,-0.91%,REDY
03-06-2024,"1,156.66","1,187.58","1,187.58","1,155.43",2.09M,-0.15%,REDY
31-05-2024,"1,158.37","1,179.99","1,180.93","1,150.57",5.15M,-1.39%,REDY
30-05-2024,"1,174.75","1,195.00","1,195.00","1,166.60",3.01M,-2.12%,REDY
29-05-2024,"1,200.15","1,197.00","1,203.59","1,182.92",2.53M,0.59%,REDY
28-05-2024,"1,193.06","1,174.43","1,201.02","1,174.43",3.97M,1.58%,REDY
27-05-2024,"1,174.54","1,173.15","1,177.99","1,159.22",3.37M,0.12%,REDY
24-05-2024,"1,173.15","1,179.28","1,181.82","1,167.70",2.12M,-0.54%,REDY
23-05-2024,"1,179.54","1,180.49","1,186.60","1,167.00",2.83M,0.42%,REDY
22-05-2024,"1,174.55","1,170.00","1,181.00","1,158.08",2.61M,1.61%,REDY
21-05-2024,"1,155.96","1,162.19","1,166.66","1,154.60",2.46M,-0.55%,REDY
18-05-2024,"1,162.32","1,162.19","1,169.83","1,160.03",113.23K,0.21%,REDY
17-05-2024,"1,159.91","1,170.08","1,171.29","1,158.20",3.01M,-0.87%,REDY
16-05-2024,"1,170.08","1,185.60","1,185.60","1,141.80",3.66M,-0.42%,REDY
15-05-2024,"1,175.00","1,177.00","1,193.39","1,172.00",1.46M,0.11%,REDY
14-05-2024,"1,173.76","1,187.78","1,189.08","1,171.00",1.19M,-0.67%,REDY
13-05-2024,"1,181.71","1,184.20","1,189.80","1,170.10",852.82K,-0.21%,REDY
10-05-2024,"1,184.20","1,175.00","1,187.00","1,163.62",1.48M,0.74%,REDY
09-05-2024,"1,175.47","1,214.90","1,214.90","1,174.00",2.53M,-2.96%,REDY
08-05-2024,"1,211.27","1,220.00","1,222.99","1,190.54",4.94M,-3.22%,REDY
07-05-2024,"1,251.52","1,265.98","1,270.00","1,240.00",1.59M,-0.57%,REDY
06-05-2024,"1,258.69","1,275.94","1,276.00","1,249.27",2.26M,-0.88%,REDY
03-05-2024,"1,269.91","1,259.98","1,283.98","1,251.60",2.91M,0.99%,REDY
02-05-2024,"1,257.50","1,239.05","1,259.96","1,239.05",3.13M,1.34%,REDY
30-04-2024,"1,240.86","1,259.98","1,262.60","1,237.00",1.91M,-1.47%,REDY
29-04-2024,"1,259.42","1,254.00","1,265.00","1,240.47",1.49M,0.72%,REDY
26-04-2024,"1,250.42","1,244.98","1,261.77","1,235.77",2.06M,0.54%,REDY
25-04-2024,"1,243.75","1,195.01","1,252.40","1,185.60",4.63M,4.50%,REDY
24-04-2024,"1,190.16","1,192.01","1,198.97","1,184.21",1.33M,-0.02%,REDY
23-04-2024,"1,190.42","1,210.00","1,213.00","1,186.78",1.49M,-1.06%,REDY
22-04-2024,"1,203.22","1,195.00","1,212.80","1,190.70",1.67M,1.23%,REDY
19-04-2024,"1,188.57","1,200.00","1,200.00","1,176.16",1.71M,-0.24%,REDY
18-04-2024,"1,191.43","1,219.99","1,225.50","1,187.53",2.99M,-1.54%,REDY
16-04-2024,"1,210.07","1,201.17","1,214.77","1,197.01",2.04M,0.66%,REDY
15-04-2024,"1,202.17","1,214.64","1,214.64","1,196.45",1.35M,-1.20%,REDY
12-04-2024,"1,216.77","1,233.78","1,237.80","1,215.00",1.97M,-1.20%,REDY
10-04-2024,"1,231.58","1,239.98","1,239.98","1,229.00",980.42K,-0.16%,REDY
09-04-2024,"1,233.58","1,240.44","1,246.04","1,231.00",643.62K,-0.11%,REDY
08-04-2024,"1,234.91","1,243.49","1,245.35","1,227.01",1.42M,-0.08%,REDY
05-04-2024,"1,235.86","1,228.50","1,261.17","1,228.00",2.71M,0.60%,REDY
04-04-2024,"1,228.50","1,231.00","1,235.00","1,209.50",2.00M,0.30%,REDY
03-04-2024,"1,224.88","1,247.51","1,253.60","1,222.40",1.35M,-1.81%,REDY
02-04-2024,"1,247.51","1,253.79","1,253.79","1,241.20",1.19M,-0.20%,REDY
01-04-2024,"1,250.07","1,243.00","1,256.49","1,231.58",772.02K,1.50%,REDY
28-03-2024,"1,231.58","1,215.60","1,241.96","1,215.60",2.59M,1.88%,REDY
27-03-2024,"1,208.82","1,230.20","1,230.20","1,206.82",1.45M,-1.48%,REDY
26-03-2024,"1,226.97","1,238.00","1,242.29","1,221.21",1.36M,-1.10%,REDY
22-03-2024,"1,240.64","1,225.80","1,247.88","1,221.01",1.53M,1.22%,REDY
21-03-2024,"1,225.64","1,225.00","1,231.20","1,212.00",1.63M,0.41%,REDY
20-03-2024,"1,220.66","1,224.99","1,227.62","1,204.64",1.39M,-0.52%,REDY
19-03-2024,"1,226.98","1,267.00","1,267.00","1,224.69",1.58M,-3.25%,REDY
18-03-2024,"1,268.21","1,258.42","1,270.98","1,253.61",902.47K,0.89%,REDY
15-03-2024,"1,256.98","1,257.02","1,261.71","1,242.90",2.43M,-0.15%,REDY
14-03-2024,"1,258.92","1,256.40","1,264.03","1,241.78",2.00M,-0.15%,REDY
13-03-2024,"1,260.76","1,260.48","1,270.00","1,249.76",1.05M,0.03%,REDY
12-03-2024,"1,260.43","1,277.63","1,285.60","1,253.25",1.65M,-1.34%,REDY
11-03-2024,"1,277.49","1,273.80","1,284.72","1,262.00",1.41M,1.00%,REDY
07-03-2024,"1,264.83","1,261.10","1,273.94","1,261.10",1.17M,0.15%,REDY
06-03-2024,"1,262.93","1,260.66","1,266.40","1,238.00",1.21M,0.18%,REDY
05-03-2024,"1,260.66","1,266.98","1,268.43","1,249.40",1.04M,-0.50%,REDY
04-03-2024,"1,267.02","1,248.00","1,287.87","1,247.80",2.20M,1.54%,REDY
02-03-2024,"1,247.78","1,249.00","1,259.79","1,244.00",87.51K,0.73%,REDY
01-03-2024,"1,238.71","1,289.80","1,294.60","1,234.42",2.88M,-3.59%,REDY
29-02-2024,"1,284.85","1,276.41","1,294.58","1,271.42",5.51M,-0.06%,REDY
28-02-2024,"1,285.61","1,288.69","1,301.18","1,278.42",1.56M,-0.33%,REDY
