Date,Price,Open,High,Low,Vol.,Change %,Symbol
01-12-2022,"2,099.51","2,080.56","2,105.25","2,074.77",2.61M,1.42%,LART
30-11-2022,"2,070.18","2,048.38","2,081.31","2,040.40",2.10M,1.19%,LART
29-11-2022,"2,045.94","2,065.34","2,067.34","2,034.01",1.41M,-0.67%,LART
28-11-2022,"2,059.80","2,059.71","2,067.34","2,047.38",1.11M,0.08%,LART
25-11-2022,"2,058.11","2,056.36","2,091.08","2,053.82",2.65M,0.51%,LART
24-11-2022,"2,047.58","2,025.93","2,055.36","2,023.84",1.61M,1.34%,LART
23-11-2022,"2,020.44","2,034.36","2,039.40","2,013.46",1.05M,-0.24%,LART
22-11-2022,"2,025.23","2,017.00","2,028.57","2,015.06",1.34M,0.91%,LART
21-11-2022,"2,006.92","2,014.46","2,028.43","2,002.48",714.69K,-0.64%,LART
18-11-2022,"2,019.90","2,034.41","2,046.33","2,002.33",1.25M,-0.25%,LART
17-11-2022,"2,024.98","1,997.50","2,054.37","1,996.60",3.79M,1.30%,LART
16-11-2022,"1,999.09","1,981.53","2,005.33","1,980.58",1.20M,0.35%,LART
15-11-2022,"1,992.06","1,998.49","2,012.46","1,973.65",1.45M,-0.16%,LART
14-11-2022,"1,995.30","2,008.52","2,017.35","1,990.76",1.18M,-0.56%,LART
11-11-2022,"2,006.57","1,999.09","2,014.26","1,987.47",1.20M,1.69%,LART
10-11-2022,"1,973.20","1,990.51","1,997.35","1,965.77",1.26M,-1.29%,LART
09-11-2022,"1,998.99","2,020.49","2,032.37","1,991.76",1.30M,-0.70%,LART
07-11-2022,"2,013.11","2,016.85","2,027.43","1,988.52",1.40M,0.13%,LART
04-11-2022,"2,010.57","2,005.48","2,024.78","2,000.24",2.31M,0.32%,LART
03-11-2022,"2,004.18","2,001.49","2,017.95","1,988.52",1.05M,-0.23%,LART
02-11-2022,"2,008.77","2,031.92","2,037.41","1,995.50",1.89M,-0.55%,LART
01-11-2022,"2,019.90","2,027.43","2,051.37","1,985.57",4.46M,0.07%,LART
31-10-2022,"2,018.55","1,981.53","2,030.07","1,973.75",3.18M,2.43%,LART
28-10-2022,"1,970.61","1,967.56","1,981.53","1,959.38",2.01M,0.56%,LART
27-10-2022,"1,959.63","1,947.71","1,967.41","1,945.51",2.25M,0.77%,LART
25-10-2022,"1,944.71","1,910.69","1,950.25","1,887.29",2.14M,2.06%,LART
24-10-2022,"1,905.45","1,901.71","1,915.58","1,895.72",269.40K,1.76%,LART
21-10-2022,"1,872.53","1,909.39","1,920.67","1,862.90",2.23M,-1.44%,LART
20-10-2022,"1,899.87","1,894.38","1,913.48","1,882.06",1.37M,-0.04%,LART
19-10-2022,"1,900.61","1,915.68","1,942.62","1,897.37",1.64M,-0.69%,LART
18-10-2022,"1,913.78","1,888.84","1,926.85","1,888.84",1.40M,1.85%,LART
17-10-2022,"1,878.96","1,898.62","1,909.69","1,874.17",2.59M,-1.49%,LART
14-10-2022,"1,907.30","1,895.72","1,932.39","1,894.18",1.82M,1.89%,LART
13-10-2022,"1,871.93","1,896.72","1,907.70","1,864.05",1.30M,-1.84%,LART
12-10-2022,"1,906.95","1,875.77","1,911.69","1,853.87",1.91M,1.72%,LART
11-10-2022,"1,874.72","1,919.47","1,919.47","1,867.04",1.05M,-1.61%,LART
10-10-2022,"1,905.35","1,900.71","1,912.69","1,879.26",1.66M,-0.77%,LART
07-10-2022,"1,920.22","1,900.71","1,924.61","1,898.77",1.47M,0.61%,LART
06-10-2022,"1,908.65","1,877.77","1,914.68","1,873.87",2.77M,2.21%,LART
04-10-2022,"1,867.34","1,831.17","1,876.72","1,831.17",1.64M,2.87%,LART
03-10-2022,"1,815.21","1,847.83","1,847.83","1,809.92",1.85M,-1.54%,LART
30-09-2022,"1,843.54","1,819.85","1,878.71","1,811.96",2.34M,1.77%,LART
29-09-2022,"1,811.42","1,840.50","1,853.22","1,793.36",2.38M,-1.09%,LART
28-09-2022,"1,831.32","1,825.58","1,851.82","1,821.49",1.85M,-0.31%,LART
27-09-2022,"1,837.06","1,851.82","1,859.81","1,828.38",1.44M,-0.55%,LART
26-09-2022,"1,847.28","1,844.84","1,872.58","1,813.91",1.53M,-0.29%,LART
23-09-2022,"1,852.67","1,885.75","1,891.19","1,848.38",1.95M,-1.66%,LART
22-09-2022,"1,883.95","1,877.77","1,901.31","1,868.79",1.88M,-0.39%,LART
21-09-2022,"1,891.39","1,916.78","1,941.92","1,887.34",1.62M,-1.92%,LART
20-09-2022,"1,928.35","1,926.66","1,951.40","1,920.67",1.67M,1.15%,LART
19-09-2022,"1,906.40","1,916.78","1,927.60","1,900.71",1.76M,-0.48%,LART
16-09-2022,"1,915.68","1,942.62","1,952.50","1,910.69",3.88M,-1.92%,LART
15-09-2022,"1,953.10","1,954.69","1,980.23","1,950.40",1.57M,0.18%,LART
14-09-2022,"1,949.50","1,960.23","1,968.51","1,945.01",2.32M,-1.88%,LART
13-09-2022,"1,986.87","1,964.47","1,990.51","1,958.68",1.76M,1.50%,LART
12-09-2022,"1,957.49","1,945.36","1,962.57","1,943.52",791.71K,0.62%,LART
09-09-2022,"1,945.36","1,972.90","1,982.93","1,939.63",980.87K,-1.25%,LART
08-09-2022,"1,969.96","1,963.47","1,972.55","1,943.17",1.63M,0.83%,LART
07-09-2022,"1,953.69","1,936.73","1,956.94","1,929.65",1.24M,-0.21%,LART
06-09-2022,"1,957.89","1,969.36","1,980.63","1,946.91",1.17M,-0.31%,LART
05-09-2022,"1,963.92","1,943.57","1,968.31","1,937.73",2.47M,1.44%,LART
02-09-2022,"1,936.13","1,896.22","1,954.39","1,895.97",3.20M,1.44%,LART
01-09-2022,"1,908.65","1,900.71","1,926.16","1,887.84",2.01M,-0.50%,LART
30-08-2022,"1,918.17","1,889.64","1,923.66","1,884.90",1.39M,2.18%,LART
29-08-2022,"1,877.27","1,865.79","1,885.75","1,856.81",1.18M,-1.25%,LART
